id,xslice,yslice,d_per,d_long,d_tot,SM,x,Metal,y,z
2825631, 16.0670, 17.3750,  0.0369,  6.6383,  6.7038,1138128380.0000, 52.8165,  0.0122, 58.2769, 53.8568
2826270, 67.7377, 14.6751,  0.0484,  1.9329,  2.0825,1615579900.0000, 78.3342,  0.0183, 15.2455, 75.8048
2826755, 17.6789,-46.3663,  2.7951,  0.0000,  2.0641,1683681660.0000, 92.0531,  0.0140, 52.5576,  3.5085
2827021, 17.4617,-46.4867,  2.8464,  0.0000,  2.0641,1085344900.0000, 91.9983,  0.0139, 52.6877,  3.3008
2829625,-17.3223, 38.8797,  0.4391,  6.5611,  4.7820,6452574700.0000,  8.1456,  0.0156, 62.3837, 49.5996
2830128,-17.2123, 38.8245,  0.5050,  5.7232,  4.7820,1436358400.0000,  8.2785,  0.0131, 62.3639, 49.6243
2830291, 57.9387, 11.7473,  0.0155,  1.4879,  4.5867,3867614460.0000, 76.5221,  0.0140, 24.6346, 69.2307
2832657, 46.1900,  9.8627,  0.4545,  7.3649,  8.8963,2514480900.0000, 61.6547,  0.0142, 17.9406, 58.3875
2834699, 10.1873, 76.5052,  0.0756,  5.6487, 11.7090,2402195200.0000, 12.5569,  0.0139, 64.3887, 97.8488
2834985,-29.1613, 15.9748,  0.0161,  0.0000,  2.3610,2143857020.0000, 35.1024,  0.0115, 99.3071, 32.4835
2835378,-29.1454, 15.9728,  0.0000,  0.0000,  2.3610,1273348220.0000, 35.1205,  0.0177, 99.3085, 32.4928
2835509,-28.7973, 16.1279,  0.0618,  0.4264,  2.3610,2202943230.0000, 35.2273,  0.0166, 99.0915, 32.7939
2835854, 17.1973, 39.8386,  2.4637, 10.0416, 10.3521,2312952580.0000, 27.3198,  0.0145, 39.6782, 67.8587
2836121, 30.2417, -6.5566,  0.1306,  2.7665,  2.1508,2513049340.0000, 86.6406,  0.0163, 64.6471, 45.9531
2837822, -1.7435, 72.4765,  4.7475,  0.0000, 11.7090,2446077180.0000, 23.8525,  0.0174, 96.1782, 94.2862
2838436,-12.5231, 48.2138,  0.7881,  0.0382,  5.2847,23415490600.0000,  1.2048,  0.0192, 53.6134, 58.0395
2840143,-39.6709,-12.0451,  3.1099,  0.8597,  1.9574,2261618430.0000, 35.3131,  0.0172, 87.8192,  0.8013
2840570,-39.7265,-11.7980,  3.1714,  1.8663,  1.9574,1023828100.0000, 35.1156,  0.0145, 87.8475,  0.9652
2841706, 46.1618, 35.3568,  3.8132,  4.6874,  0.5642,2458404860.0000, 66.9529,  0.0165, 51.6487, 86.3512
2842553,-18.1316, -3.9101,  0.0201,  2.3451,  3.4836,1687770500.0000, 57.3642,  0.0156, 96.7435, 23.5659
2843476, 35.6156, 44.3299,  0.3034, 15.2565, 13.4879,1220023420.0000, 36.0036,  0.0129, 29.1575, 81.1033
2846079,-12.2268, 14.1947,  0.2254,  4.2714,  5.2867,4734850000.0000, 42.6044,  0.0153, 82.9808, 38.4487
2849683, 29.4497, 16.8825,  0.0007,  1.6716,  6.3540,1987762180.0000, 48.9338,  0.0155, 31.1589, 55.9328
