# id    npts   len        ngal1   ngal2   lum1       lum2       xmin        ymin       zmin        xlen      ylen      zlen     
  160   56     27.62728   18      19      19.29386   20.88607   -2.747      256.5013   -112.8715   25.5688   3.6119    5.1144   
  161   41     20.30966   17      21      16.45484   19.19593   -134.9898   144.8351   48.889      3.4889    14.075    6.677    
  162   52     25.75175   16      18      12.47673   12.99977   69.1264     117.138    -70.915     4.5161    13.8842   18.8988  
  163   43     21.35398   12      16      7.29479    10.28953   -9.8349     149.9985   56.5487     12.6002   16.4063   1.9716   
  164   43     21.18746   17      22      16.90666   21.88158   -157.1057   166.6839   -75.3701    5.9353    16.5332   8.2902   
  165   72     35.63726   33      55      32.83318   58.36521   -11.295     233.5973   -96.6443    22.5643   20.0523   12.2342  
  166   45     22.4069    30      41      42.73651   56.01966   -187.6532   205.8706   30.3519     18.5376   8.0419    8.0551   
  167   29     14.06596   3       4       1.69226    2.37278    -10.6699    156.3718   90.2333     5.3083    2.7691    12.3915  
  168   39     19.13312   16      18      19.8627    23.7399    50.6479     286.6513   98.8987     1.3258    13.7883   11.4116  
  169   40     19.65466   16      20      19.81722   25.08923   16.7559     290.6664   -57.5731    14.9102   2.7192    11.7928  
  170   38     18.64291   15      20      5.23465    6.46667    64.6411     41.0175    22.7341     2.1967    16.9281   5.0351   
  171   53     26.03051   19      21      18.84419   20.28718   35.3896     227.4703   -42.9273    14.346    19.6196   7.612    
  172   59     29.19747   37      52      14.10348   19.5716    -14.204     88.4971    14.5355     12.1791   19.6855   13.9652  
  173   44     21.71478   17      20      18.8839    22.25918   181.9197    124.6021   -34.6651    14.5483   14.427    3.6033   
  174   40     19.56094   8       13      7.57932    10.39018   -129.3345   161.517    -12.1745    15.2336   7.1052    7.9658   
  175   16     7.61068    5       9       7.27453    12.68644   152.6454    251.2437   -113.7486   1.6911    6.3779    3.4698   
  176   18     8.56423    10      11      3.62217    3.65832    -17.083     70.0773    1.6244      7.083     0.6898    4.4366   
  177   43     21.44144   11      15      15.58969   18.90658   125.6501    208.1106   127.0791    7.6629    17.284    5.0325   
  178   34     16.70146   16      17      5.28896    5.39371    5.9884      101.2663   18.376      7.1043    9.004     11.4228  
  179   27     13.14548   7       9       5.17346    7.29629    95.1057     231.8988   -75.1901    12.3318   2.7436    1.6245   
  180   61     30.16888   22      24      26.24803   28.12343   -6.0192     261.5906   -139.963    22.6055   11.07     13.2633  
  181   39     19.26111   18      19      34.85267   37.61223   40.6716     318.8083   218.645     6.7028    5.9199    15.5495  
  182   47     23.20534   17      18      26.26905   26.89158   -194.2079   120.9183   -65.5765    9.1565    18.3799   9.7981   
  183   61     30.30026   35      44      29.90638   37.30642   53.5493     131.5184   -78.5659    19.4888   5.0127    17.9473  
  184   26     12.5513    8       10      11.23855   15.37502   -221.7151   158.3894   54.1015     5.0239    8.5686    7.4999   
  185   70     34.64682   30      37      34.47824   40.58646   63.5038     174.1639   -116.247    31.2182   6.9658    4.7198   
  186   95     47.52553   46      53      31.37063   33.54292   28.0837     106.2288   65.3114     28.3888   23.3116   19.4747  
  187   30     14.57128   8       17      7.39973    15.93443   1.0955      99.8243    60.5306     2.6833    13.8662   2.776    
  188   45     22.14265   12      16      15.85442   20.21187   230.4297    166.2915   4.9525      6.0681    7.6017    19.0448  
  189   47     23.33833   18      20      28.01682   29.4555    -242.573    170.918    -69.4204    11.6284   6.6027    17.0617  
  190   62     30.95392   22      28      15.6481    20.68855   84.1958     109.7479   -11.249     16.1673   21.4214   9.0667   
  191   48     23.55613   13      17      8.98689    10.67215   -55.3174    166.9984   -83.6183    17.4709   9.2414    8.7229   
  192   55     27.23644   22      26      11.73388   13.33785   74.3385     135.3627   8.9303      21.1263   10.0166   8.2933   
  193   59     29.23715   20      23      51.80841   57.30544   -135.7105   309.7787   120.3792    4.27      21.7421   16.0693  
  194   44     21.72113   13      15      13.96764   15.79698   -238.9881   174.0589   37.2811     16.7723   3.0651    10.9082  
  195   46     22.64283   27      34      32.76054   41.80138   -215.4966   176.1959   29.355      19.9213   2.0396    8.5104   
  196   64     32.11008   24      30      7.84598    8.54861    -30.6955    67.9242    -57.1158    12.0017   16.3432   21.3542  
  197   31     15.11784   9       12      8.58828    10.3059    -53.2328    192.2911   -19.1627    8.6449    11.3392   2.5599   
  198   17     8.08831    3       5       0.25546    0.38383    -4.9885     42.0678    4.8159      2.3326    7.0615    2.4651   
  199   26     12.62269   10      10      20.30234   20.30234   -286.257    221.2461   44.607      3.9389    10.0692   5.741    
  200   60     29.97107   28      40      24.00494   28.28086   77.3073     114.1229   34.5209     10.772    7.3392    20.2812  
  201   20     9.66744    6       6       6.25308    6.25308    -57.1477    205.4235   -53.8702    7.6159    2.7548    4.8223   
  202   57     28.26148   33      39      31.95106   37.37248   -26.7961    212.5003   39.975      24.4603   5.2511    8.3872   
  203   60     29.72667   25      31      18.35773   25.0514    -94.1404    97.6447    62.9637     8.3879    18.4327   17.4083  
  204   49     24.30456   14      17      28.27172   34.18047   -148.6211   276.8373   -115.4316   14.4223   6.0589    16.8237  
  205   34     16.58902   10      13      8.93713    10.82522   -8.0118     198.2181   -20.3799    9.8272    4.0792    11.8299  
  206   42     20.66206   16      20      7.86158    10.40151   -44.3364    51.7595    -0.6222     13.6187   12.4162   7.6536   
  207   66     32.63977   36      51      49.87001   72.98436   21.9705     249.9425   98.155      16.9351   14.2132   21.2597  
  208   45     22.59636   24      31      5.34075    5.84084    39.4972     40.5729    -14.9742    12.0013   4.6364    14.8233  
  209   48     23.69172   16      19      19.17755   23.22271   -74.5416    196.7124   -72.0959    10.7498   5.2134    19.5961  
  210   23     11.08666   7       11      6.62812    11.46101   -179.8075   114.754    -48.4639    1.7478    4.0337    9.9043   
  211   37     18.08702   9       12      5.02433    5.2971     2.8288      85.5331    -17.9279    10.9948   13.7205   3.2717   
  212   57     28.13      17      19      17.51775   18.76542   -115.4602   225.6057   -44.8908    20.35     7.6372    11.3788  
  213   102    50.87207   46      65      42.17097   55.55995   -105.2949   179.2456   1.8509      21.3226   4.3874    34.7241  
  214   27     13.12644   7       11      4.71002    7.13081    8.6405      187.1234   13.1414     11.6745   1.0309    5.2793   
  215   30     14.72026   11      15      11.01191   13.22164   153.3002    150.6563   -36.6317    1.9502    6.0281    12.9598  
  216   30     14.85724   8       16      6.8329     12.30811   18.7299     119.6452   -82.5455    5.369     1.6157    12.8203  
  217   88     43.78873   39      47      28.38783   31.62824   -22.6821    181.3012   -42.5527    20.4546   7.9332    32.8507  
