id,SM,VelDisp,SFR,GM,Tot_Mass,SM_sh,Metal,SF_Metal,NSF_Metal,SF_O,SF_H,x,y,z,SubGrpNum,Vel,Mass_sh,grpid,u,g,r,i,zmag
11234943,4.22888422E9,55.888992,1.4076827,6.4910705E9,8.199793E10,4.3886623E9,0.012131519,0.01919897,0.002529208,0.008823925,0.711465,78.79219,38.847935,26.597578,0,176.53427871804388,3.57452939E11,27000000003115,4.0871062E-5,9.242783E-5,1.3391374E-4,1.7308709E-4,1.8710004E-4
11689362,3.15969971E9,50.3507,0.21948262,2.22427469E9,8.8509301E10,3.32865766E9,0.01735425,0.034377914,0.0025060375,0.014146193,0.6749799,40.76603,87.50367,7.215323,0,273.04574078805916,3.57524275E11,27000000003812,8.5303245E-6,2.4006864E-5,4.437639E-5,6.0734408E-5,7.622723E-5
11202173,4.5288806E9,57.730183,0.41835842,3.98526899E9,9.8745942E10,4.5920323E9,0.01739325,0.032446355,0.0018905288,0.013517893,0.6803311,73.19691,91.93572,88.035774,0,177.31177299815712,3.57554618E11,27000000003183,1.8801935E-5,4.225277E-5,7.072058E-5,9.748053E-5,1.1403207E-4
11414748,5.7070346E9,58.796787,0.36191103,6.0906849E9,1.06605576E11,5.8920474E9,0.017421916,0.031216273,0.0026351926,0.013199606,0.68385017,20.76742,17.216028,67.27384,0,230.77351248031044,3.57569167E11,27000000003577,1.8677034E-5,4.8763854E-5,8.4899955E-5,1.135156E-4,1.3730767E-4
11293757,8.9313393E9,66.42538,0.48678315,3.06135117E9,1.0981571E11,9.1036488E9,0.02011499,0.03406291,0.004730994,0.01375816,0.6757975,66.12576,35.803715,47.467342,0,233.3958547189731,3.57609013E11,27000000003409,1.8360573E-5,5.1353043E-5,9.698796E-5,1.3459749E-4,1.6958523E-4
11760424,3.69466522E9,55.0612,0.2672883,7.297671E8,1.00289053E11,3.80675558E9,0.015573292,0.031926475,0.0022184898,0.013174294,0.68100315,78.67132,72.76421,87.43715,0,275.55896317757475,3.58293078E11,27000000003773,7.6761335E-6,2.3166995E-5,4.3522712E-5,5.9648148E-5,7.511758E-5
11629349,5.0185037E9,55.765057,0.30303815,2.32887834E9,1.03182909E11,5.1122529E9,0.01705184,0.04103528,0.0043496457,0.016813427,0.6602973,53.506035,41.301228,70.392746,0,160.97120399507796,3.58452986E11,27000000003831,1.5778774E-5,4.2490432E-5,7.772015E-5,1.05379084E-4,1.2828987E-4
11744162,4.945984E9,56.90783,0.42487574,1.20922406E9,1.05141625E11,4.9945815E9,0.017654145,0.037411936,0.0022253003,0.01562784,0.6680034,1.6397849,48.251507,48.686092,0,394.6043509010006,3.58579995E11,27000000003932,1.2273521E-5,3.7858998E-5,7.0342765E-5,9.509911E-5,1.1865648E-4
11642075,3.62844621E9,59.8857,0.24572864,5.8297103E9,1.12962478E11,3.70969472E9,0.017544542,0.035099182,0.001853449,0.014461673,0.67419213,85.75369,24.971458,51.06083,0,363.0044119910941,3.58749241E11,27000000003750,1.40356215E-5,3.3885637E-5,5.682768E-5,7.693459E-5,9.0100344E-5
11286582,6.6611461E9,60.124187,0.4522798,2.31804928E9,1.11232844E11,6.75251E9,0.017745158,0.039521135,0.0038030606,0.016263485,0.6636438,17.66905,96.29205,60.247692,0,369.0824348976797,3.58781846E11,27000000002715,2.2415301E-5,5.9420527E-5,1.0554624E-4,1.4325324E-4,1.7387998E-4
11599169,6.1758889E9,55.94657,0.1921774,3.40427699E9,1.03563952E11,6.3639885E9,0.018558463,0.045080192,0.0053390902,0.01773334,0.6510159,12.449246,7.697923,13.097084,0,168.9175903917351,3.59243612E11,27000000003593,8.636076E-6,3.3090113E-5,7.045479E-5,9.783317E-5,1.2703083E-4
11379629,5.6073334E9,61.28037,0.21128008,4.17877888E9,1.12883237E11,5.728576E9,0.018733293,0.04141238,0.001755473,0.016486403,0.65878767,2.8195248,41.931526,98.73533,0,311.2523594288082,3.59414792E11,27000000003517,1.0209171E-5,3.0945608E-5,6.049583E-5,8.4643696E-5,1.06500884E-4
11191609,2.51684122E9,49.838104,0.2533819,3.58627866E9,8.9490219E10,2.56415258E9,0.012957793,0.026877547,0.002103328,0.011678859,0.69305795,39.2861,89.91187,65.79801,0,222.11000758351705,3.59417446E11,27000000003240,1.2968187E-5,3.531181E-5,5.879985E-5,7.641629E-5,8.933833E-5
