id,xslice,yslice,SM,x,Metal,y,z
11121227, -1.8164, -8.6467,6209843700.0000, 85.4548,  0.0167, 52.6471, 26.3951
11125474, 54.2456, -5.1650,5570053600.0000, 74.7672,  0.0177, 65.7859, 80.1709
11131841, 60.3327,-60.9441,8865206300.0000, 67.2997,  0.0206, 11.9679, 95.0142
11136374,  2.2216, 26.1085,3786657790.0000, 67.5431,  0.0147, 90.5779, 17.7967
11157062, 52.7055, -4.6676,5024784400.0000, 75.0206,  0.0172, 66.0239, 78.5633
11167244, 45.4403,-37.4239,3587471870.0000, 81.1581,  0.0159, 31.3285, 79.5413
11190912, 10.6876,-52.5438,6600613400.0000, 82.2870,  0.0163, 11.0173, 46.9500
11201526, 46.4240,-38.1685,4444594200.0000, 83.8824,  0.0158, 30.3321, 81.6054
11202173, 66.9467, 18.9201,4528880600.0000, 73.1969,  0.0174, 91.9357, 88.0358
11216251, 24.5937,-62.3452,4770614300.0000, 82.2219,  0.0148,  3.2372, 63.2484
11254179, 62.6038, 17.6608,3294642180.0000, 75.6045,  0.0168, 89.6998, 84.5869
11263214, 80.1778,-51.9158,5175555600.0000, 22.9779,  0.0157, 30.2796, 99.1265
11272696,-27.9551,-44.1613,3371806720.0000, 81.9589,  0.0150, 13.8566,  5.2139
11273278, 23.4697, 33.4253,10556768300.0000, 79.3786,  0.0160, 99.2565, 42.2394
11278954, 15.4406,-48.9436,5200133100.0000, 47.5827,  0.0170, 20.3261, 39.6976
11280835, 49.7667,-42.6169,2491791870.0000, 42.9056,  0.0161, 32.2956, 72.4121
11283465, 25.7993,-68.6992,2311656960.0000, 56.6271,  0.0148,  0.7606, 57.2993
11285879, -6.5543, -6.6092,4371387900.0000, 60.4586,  0.0149, 57.6155, 12.8389
11290012, 56.5083,-16.0127,2450269180.0000, 47.9859,  0.0120, 59.1402, 75.8108
11299239,  4.3210, -6.9005,5837383200.0000, 73.7267,  0.0178, 56.9780, 28.5268
11300714,  8.9031, -6.3699,5005076500.0000, 84.1067,  0.0171, 56.6698, 36.5890
11314718, 41.5599, -0.0202,5701891100.0000, 73.6821,  0.0161, 69.2524, 65.6745
11318263, 22.1959, 33.7983,16779391000.0000, 81.0832,  0.0215, 99.1986, 41.4110
11320212, -1.6173, 23.5416,5633701900.0000, 89.1864,  0.0165, 84.3243, 21.4783
11358542, 39.9294,-53.1560,5751580700.0000, 66.0555,  0.0177, 16.9840, 71.9603
11361896, 42.6185,-57.3609,6953843200.0000, 77.0958,  0.0209, 11.5709, 79.2172
11375123,-26.4047,-15.9641,8891802600.0000, 85.8059,  0.0196, 41.7215,  2.5209
11382876, 48.0676,-33.3159,4545800200.0000, 49.1743,  0.0181, 40.4439, 70.8880
11385951, 32.1877,-26.7761,2301996540.0000, 87.8585,  0.0128, 39.0896, 65.9426
11397800, -7.4500,-21.6160,3393273090.0000, 84.4283,  0.0154, 39.0112, 22.7891
11398441,  3.5502, 24.4599,4816736800.0000, 66.3033,  0.0182, 89.3009, 19.0872
11399028,-15.6784, 25.6193,5605406200.0000, 69.9146,  0.0185, 87.1559,  0.1601
11419698, 28.1217,-70.5920,50930852000.0000, 50.9831,  0.0345,  0.0204, 58.2119
11424253, 38.8923,-27.2761,5083740200.0000, 58.3808,  0.0183, 43.8243, 63.2442
11577130, 11.4086,-49.1752,7236615200.0000, 82.5888,  0.0171, 14.4466, 47.1305
11587721, -1.8728, -9.3982,1879464700.0000, 83.3805,  0.0161, 52.1875, 25.8003
11587989, -1.6648, -9.2145,1345840260.0000, 83.0845,  0.0154, 52.4442, 25.8814
11592023, 64.7809, 14.5348,2097321980.0000, 43.9532,  0.0147, 91.4680, 77.0059
11638484, -9.3270, 21.1834,5927878700.0000, 74.5710,  0.0145, 82.9652,  9.1432
11675090,  0.4574,-10.8279,2688916220.0000, 58.8995,  0.0175, 54.6368, 20.4101
11679239, 52.9065, -5.2810,2022287360.0000, 74.8344,  0.0100, 65.4665, 78.8308
11687290,-12.4546, 15.8039,1336100990.0000, 78.7916,  0.0141, 76.5227,  8.3635
11694538, 59.7876,-51.0473,4605235700.0000, 67.1951,  0.0158, 21.8009, 92.4620
