id,SM,VelDisp,SFR,GM,Tot_Mass,SM_sh,Metal,SF_Metal,NSF_Metal,SF_O,SF_Fe,SF_N,SF_C,SF_H,NSF_O,NSF_H,Stars_O,Stars_N,Stars_C,Stars_Fe,Stars_H,x,y,z,SubGrpNum,Vel,Mass_sh,grpid,u,g,r,i,zmag,Y,J,H,K,M_dot,ellip,Kappacorot,ENV,d_long,d_per,d_tot,xslice,yslice
8950687,12711416800.0,87.73867,1.320397,5274855400.0,153920520000.0,13440123900.0,0.0188,0.029626966,0.0024632388,0.0125158485,0.0019439971,0.0013712401,0.0047956975,0.686247,0.0011054178,0.7466675,0.008382563,0.0007142243,0.003168037,0.0010199262,0.7113198,71.7455,51.9757,78.2143,0,280.9327099146698,1223415690000.0,27000000001186,-19.211077,-20.08033,-20.476473,-20.689842,-20.919268,-21.093699,-21.157799,-21.3311,-21.057137,3.4209435e-05,0.5916977548829884,0.5351418728062141,filament,2.4693,0.0141,4.3849,27.3115,43.0261
8951969,15776854000.0,81.74476,0.82402056,6370822100.0,173642465000.0,16749328400.0,0.0204,0.040453386,0.006086147,0.016630482,0.0030416397,0.0020651822,0.006504229,0.6620171,0.0026891602,0.73882574,0.009021691,0.0008274852,0.0034441133,0.001188335,0.70774084,76.195,62.9148,73.6726,0,647.7690560685961,713565930000.0,27000000001217,-18.8789,-19.888588,-20.394316,-20.65122,-20.917086,-21.118635,-21.19902,-21.388775,-21.124895,5.9586647e-10,0.6666889818696711,0.4052960239677941,filament,0.844,0.2043,2.4644,30.9747,31.8807
8953149,24143634400.0,91.69957,0.6483535,2742328580.0,217849266000.0,26032449500.0,0.0224,0.04384351,0.002317752,0.016529255,0.004813772,0.002542827,0.006597769,0.6546168,0.0009924328,0.74691564,0.009924939,0.00097085995,0.003648821,0.0011804727,0.7029744,17.5031,88.1351,46.5485,0,575.5015475652519,1301311910000.0,27000000001284,-18.954817,-20.170174,-20.783278,-21.068645,-21.357475,-21.583248,-21.678291,-21.87831,-21.614283,1.51955e-05,0.5724134796457445,0.6272853495005271,filament,0.3609,4.8074,4.0619,-29.8048,-1.5287
8956637,14736000000.0,78.52094,1.0120299,3139297790.0,173092995000.0,15159723000.0,0.0201,0.04070964,0.0018470085,0.016440375,0.0031111299,0.0022426443,0.0065094,0.6604355,0.0008198712,0.74799407,0.008976495,0.0007973338,0.0033709847,0.0010899488,0.70836127,47.7021,23.1471,76.849,0,97.0194789559035,1009321380000.0,27000000001259,-19.062935,-20.04851,-20.52793,-20.771772,-21.029152,-21.227377,-21.306425,-21.493101,-21.231062,5.0290033e-05,0.6207733927283869,0.4527037029377864,filament,0.4366,0.1018,4.5597,5.0281,63.6293
8958333,19830501400.0,89.44142,0.28031743,4506125300.0,264841642000.0,20626458600.0,0.0159,0.023248589,0.0018241692,0.010057426,0.0016785886,0.0008798343,0.0036545384,0.70182204,0.0008031037,0.74806803,0.0074650967,0.00053850247,0.0024998197,0.0007672201,0.7185263,8.2982,94.8095,43.014,0,511.3263084860782,1252061350000.0,27000000001244,-18.324646,-19.614544,-20.256508,-20.554276,-20.831009,-21.014551,-21.085098,-21.276327,-20.985565,2.304557e-07,0.5790313915734282,0.7764469168516321,filament,0.8428,2.6926,3.1714,-39.4832,-8.1531
8961773,16480942100.0,84.92519,1.0459518,3237810690.0,189217227000.0,17253138400.0,0.0192,0.02498109,0.0024982188,0.010604311,0.0017034835,0.0011043715,0.004081787,0.6971591,0.0011201738,0.74659866,0.008586041,0.00075888564,0.0032325897,0.0010474662,0.7102866,2.3342,43.9088,87.9287,0,96.19451525749793,1297980850000.0,27000000001138,-19.117516,-20.130587,-20.621408,-20.863155,-21.108246,-21.293839,-21.367477,-21.551079,-21.28003,0.0010905606,0.27284834115036816,0.6548195339218204,filament,12.1032,2.6027,19.0589,-41.2159,59.785
8967474,29763502100.0,96.350845,1.3820757,6680643100.0,224440795000.0,31062923300.0,0.021,0.03858603,0.0034882342,0.015740277,0.002923073,0.0020566066,0.006145769,0.66558033,0.0015579136,0.74441856,0.009288034,0.0008743804,0.0034803492,0.0011715143,0.7062527,80.1312,48.0826,50.076,0,191.19073836747427,1163518280000.0,27000000001229,-19.571075,-20.641556,-21.163795,-21.41948,-21.683397,-21.889015,-21.97248,-22.163256,-21.901129,9.856912e-06,0.6380422550272007,0.46330239620669134,filament,7.7389,0.4168,11.4983,35.1997,25.16
8970963,38000001000.0,113.3844,2.4138482,7421266400.0,303648834000.0,39266615000.0,0.025,0.044153385,0.0038297512,0.01793754,0.0032254758,0.0026263234,0.0067561045,0.65211517,0.0016705915,0.74354976,0.010887733,0.0011844728,0.004085061,0.0014429889,0.6967107,24.8274,77.1271,41.5163,0,582.571723052192,1253377050000.0,27000000001241,-19.90759,-20.86081,-21.348312,-21.602732,-21.882933,-22.114185,-22.208944,-22.407085,-22.158972,1.2789161e-05,0.7449023151335077,0.39062676979201927,filament,5.5258,3.1207,1.5951,-21.9585,2.1221
8972409,26123687900.0,90.190125,0.0,72730072.0,217392415000.0,26691532800.0,0.0214,0.0,0.005048409,0.0,0.0,0.0,0.0,0.0,0.0022161312,0.740964,0.009592701,0.0009042289,0.0035211437,0.001108886,0.7051101,81.6915,28.0927,67.4501,0,133.87255629188905,1090111670000.0,27000000001496,-18.259792,-19.87507,-20.628477,-20.950653,-21.25468,-21.479555,-21.576347,-21.781258,-21.506405,4.7408495e-08,0.6149428863625686,0.5106102725893975,filament,8.1968,0.2557,3.621,38.4065,51.4159
8974288,1120889470.0,45.820793,0.09561926,360222496.0,68008522000.0,1137925250.0,0.0137,0.021970078,0.00090269296,0.009079867,0.0015575101,0.0010107377,0.0036187803,0.7025198,0.00038185614,0.7499789,0.0059698964,0.0005339929,0.0024827118,0.00089376105,0.7219014,81.9602,27.7183,67.9157,0,258.6385327537256,207206613000.0,27000000005816,-16.45164,-17.322239,-17.7268,-17.941048,-18.148754,-18.291471,-18.340014,-18.499718,-18.210129,1.6373534e-07,0.2622786119509598,0.8462046383274759,filament,8.3011,0.1108,3.621,38.7091,51.9932
