id,SM,SM2,Metal,u_minus_r,g_minus_r,x,y,z,Velx,Vely,Velz
13071182,4.07701408E8,4.14092096E8,0.012507044,1.0107479,0.28863335,59.194607,84.065315,93.34716,243.99239,39.707302,10.029133
13097767,8.2713715E8,8.5059354E8,0.011451584,1.51437,0.50618553,64.675735,88.19163,92.21037,8.685964,-168.21617,-5.9942226
13359970,1.23492454E9,1.25178906E9,0.014861458,1.9218416,0.63404655,61.096233,7.353973,15.255224,-229.7805,-94.89046,308.5086
8389691,6.0492472E9,6.0755988E9,0.018414438,1.3187389,0.41468048,70.42904,38.412563,34.280678,-313.43146,-153.30246,-293.7517
13059800,1.92750861E9,1.96128051E9,0.013740406,1.1441917,0.33644867,6.6937995,21.074423,79.671974,-37.190056,139.8595,-167.17868
2881116,1.77098918E9,1.77736243E9,0.016261455,1.6176434,0.54100037,42.122864,28.55598,46.722458,-55.078953,-26.313131,41.52427
13509060,5.07801152E8,5.2743712E8,0.0115122525,1.581727,0.44961548,95.5373,97.471695,19.36658,-208.0477,51.600925,293.67053
13580161,5.381031E8,5.6021965E8,0.01267243,1.450552,0.4523964,87.30053,60.43125,61.228798,-70.37226,137.4376,-318.63193
13431987,1.08760627E9,1.11654541E9,0.012914283,1.843276,0.5710983,25.75483,69.12157,92.26521,7.289069,15.311156,11.908984
13481646,7.5531066E8,7.7528954E8,0.01281131,1.4306326,0.47309875,85.63928,84.037926,95.39312,-233.60931,-72.931786,17.607555
13327708,3.69260621E9,3.71701837E9,0.017161814,1.8397903,0.6103668,33.551514,78.74398,60.39602,-167.61484,-221.58809,71.777054
13321989,1.51859443E9,1.54118989E9,0.0144869415,1.1932201,0.35157013,67.09052,62.343895,14.380444,109.9917,110.659485,-3.3381524
12639435,7.9121981E9,7.9394166E9,0.019999364,2.0348015,0.65834236,71.54088,35.99029,33.933178,123.9113,112.91087,-11.500803
13463248,1.24486925E9,1.28103232E9,0.014279271,1.7976675,0.5616665,22.421114,51.26607,79.71296,-17.049616,-76.05361,-88.56838
13332243,1.52344678E9,1.56788339E9,0.0156175485,1.8885059,0.611475,83.59136,34.357193,52.859215,-136.95525,27.760408,93.52111
11499387,3.71666611E9,3.78540544E9,0.018276388,2.2788754,0.72200394,54.652576,96.94456,19.909185,412.6185,587.46423,-262.59625
168530,2.35190968E10,2.36013015E10,0.017761927,2.407566,0.76994514,69.76621,56.80623,71.61996,267.73407,126.94537,86.3677
13326545,3.20934605E9,3.22630554E9,0.0154026905,1.3617592,0.4331684,45.69697,66.09995,23.593834,-19.470325,225.26027,33.59024
4522778,9.8678815E9,1.01217894E10,0.020219957,2.3595428,0.7503147,74.61442,89.81846,41.16822,333.77435,-114.3844,363.27472
13336661,2.21456051E9,2.26923238E9,0.013750684,1.2460232,0.3880787,27.234049,84.766106,70.96596,-115.16109,-90.05737,-315.0252
12672358,9.7711698E9,9.9649792E9,0.021018438,1.440279,0.4418869,65.495514,80.643166,62.20936,-155.1791,219.66608,-364.4001
13468815,1.16566054E9,1.18558093E9,0.014788613,1.8863535,0.58695984,32.57847,26.73967,83.427216,-140.00945,152.06686,-11.521851
13324711,1.02358784E9,1.0513063E9,0.013569508,1.448389,0.47781754,46.528774,22.146769,52.233116,-86.91895,-16.476152,-29.144276
13043178,1.58750464E9,1.60927181E9,0.013485207,1.2523365,0.3725109,53.83286,8.514375,7.1758304,-61.02473,-117.65335,392.01334
12478013,4.9871504E8,5.16590144E8,0.012088228,1.3059998,0.3659687,42.56301,3.1302152,15.6983185,414.90408,62.295235,88.666885
13532998,8.4000634E8,8.641255E8,0.013240906,1.5662289,0.5186577,84.7386,2.821533,65.31678,-259.63318,3.420893,-123.263756
13453442,1.49292659E9,1.49966912E9,0.017202657,1.6900635,0.50270844,23.69851,74.33212,19.994257,107.93565,-227.45056,228.38861
13439261,1.13676723E9,1.15460608E9,0.013768709,1.4807692,0.5172882,62.90419,9.604368,17.10433,-320.10925,-109.89106,213.62004
5347990,7.1553772E9,7.6148813E9,0.01256672,0.94190216,0.24880028,87.88121,51.73114,5.1420846,-154.59341,-692.77716,-296.3206
2120454,1.68457861E10,1.739554E10,0.020226248,1.2378235,0.36823845,47.25806,89.20113,10.5289,171.03577,84.16237,167.3398
12205587,5.2789965E9,5.3593175E9,0.018881368,1.7579918,0.56297684,84.84724,82.46377,38.034645,-71.19319,461.4555,-15.083527
12870186,1.51134387E9,1.54189478E9,0.0143645555,1.751976,0.55558205,74.737274,63.99644,76.82834,97.05225,45.515285,-323.48538
13458076,1.28901658E9,1.30790758E9,0.015104429,1.6842623,0.5578518,12.188954,58.727924,16.308308,-62.31889,92.95582,36.61824
13371395,7.9667674E8,8.0926458E8,0.013738077,1.1473885,0.32600403,95.932365,13.192261,57.53693,-135.8437,-0.52886295,-87.16385
13332565,6.9019526E8,6.987143E8,0.010028501,1.6628685,0.4340477,23.936392,95.07984,74.63238,-11.3479595,-176.64911,-204.28685
2363904,2.94987121E10,2.95099085E10,0.023106646,1.4357224,0.4724884,40.039032,61.385277,45.500282,69.04695,146.34334,-28.834743
191713,7.4268063E9,7.6174039E9,0.018776907,1.6644306,0.53671074,96.5004,55.695007,96.34328,-609.15704,218.4222,105.695946
13375185,4.40993312E8,4.73586624E8,0.011490623,1.9776306,0.60001945,34.498657,24.083303,91.117096,-27.890833,165.83109,171.59575
13456406,1.06540307E9,1.09756467E9,0.011444373,1.235218,0.33924675,74.61782,68.75631,66.11835,189.01608,-137.16718,-195.9111
13003493,6.1730662E8,6.4252096E8,0.011257257,1.4447079,0.4476242,36.89633,43.910805,30.781883,126.818275,60.307243,70.68833
2996732,2.12985741E9,2.19548621E9,0.014763638,1.1488037,0.33826637,59.26016,21.879557,0.5215078,-111.15499,-77.04408,194.57457
13734465,5.3859441E9,5.4344417E9,0.018753499,1.5232029,0.49314117,96.60499,42.837765,60.46538,13.599531,355.99847,-206.4365
