subid,grpid,sh_x,sh_y,sh_z,fof_x,fof_y,fof_z,mstar,fof_mass,dist
2645762,27000000000000,5.62982,76.53228,45.790783,5.717667,75.61041,47.477654,1.04658893E10,5.52521169E14,3.7030889219370238
2646722,27000000000000,6.0393305,74.96915,47.635353,5.717667,75.61041,47.477654,7.0697677E9,5.52521169E14,0.5395584038417383
2647138,27000000000000,5.758714,75.22989,46.266212,5.717667,75.61041,47.477654,2.31064038E9,5.52521169E14,1.6140725298910183
2647528,27000000000000,1.0249876,73.97613,47.90421,5.717667,75.61041,47.477654,2.74251494E9,5.52521169E14,24.874077082059557
2647907,27000000000000,6.2423997,75.618225,47.174026,5.717667,75.61041,47.477654,7.2292285E9,5.52521169E14,0.36759468960008235
2648335,27000000000000,2.3249938,72.73627,47.385452,5.717667,75.61041,47.477654,1.3226944E9,5.52521169E14,19.779445275924502
2648640,27000000000000,2.8229167,73.63669,47.949833,5.717667,75.61041,47.477654,5.0786181E9,5.52521169E14,12.498120895296836
2648882,27000000000000,5.9208307,75.75302,47.490482,5.717667,75.61041,47.477654,1.69773015E10,5.52521169E14,0.061777261777251624
2650085,27000000000000,6.623135,75.007164,47.954456,5.717667,75.61041,47.477654,5.2302469E9,5.52521169E14,1.4111220792110544
2650836,27000000000000,3.7763402,74.53968,48.245987,5.717667,75.61041,47.477654,4.7687066E9,5.52521169E14,5.505553497367657
2651135,27000000000000,5.6391463,75.60942,47.613827,5.717667,75.61041,47.477654,8.9541181E9,5.52521169E14,0.024709649341275508
2651419,27000000000000,4.00804,74.291725,47.07625,5.717667,75.61041,47.477654,3.02164429E9,5.52521169E14,4.822887801336037
2651769,27000000000000,6.115284,76.085915,47.738663,5.717667,75.61041,47.477654,8.9867284E9,5.52521169E14,0.45232714640974336
2652159,27000000000000,2.8632805,72.506775,47.959446,5.717667,75.61041,47.477654,1.92876544E9,5.52521169E14,18.012213588569978
2652477,27000000000000,5.5725365,76.05303,47.64899,5.717667,75.61041,47.477654,8.1652408E9,5.52521169E14,0.24633117807775307
2653190,27000000000000,1.9214926,73.2799,47.33012,5.717667,75.61041,47.477654,6.6646643E8,5.52521169E14,19.863997987982884
2653575,27000000000000,6.0593133,74.99295,47.59539,5.717667,75.61041,47.477654,1.12975903E10,5.52521169E14,0.5118435969379789
2655359,27000000000000,6.6991286,76.291214,46.895767,5.717667,75.61041,47.477654,3.75667507E9,5.52521169E14,1.7653489160302342
2655761,27000000000000,3.0232954,72.923805,48.764713,5.717667,75.61041,47.477654,1.3209769E9,5.52521169E14,16.13402085804978
2656151,27000000000000,3.0442612,72.91827,48.79447,5.717667,75.61041,47.477654,1.4107181E7,5.52521169E14,16.128761007213654
2656236,27000000000000,2.316459,73.463135,48.177113,5.717667,75.61041,47.477654,9.3039176E9,5.52521169E14,16.668262050179294
2656791,27000000000000,2.5206041,73.02538,47.58894,5.717667,75.61041,47.477654,3.50920499E9,5.52521169E14,16.91597428270711
2657145,27000000000000,3.8837795,73.65535,47.321327,5.717667,75.61041,47.477654,1.28607962E9,5.52521169E14,7.209852366299174
2657385,27000000000000,3.893236,73.63693,47.313572,5.717667,75.61041,47.477654,1067987.5,5.52521169E14,7.250096093719151
2657437,27000000000000,3.7270138,73.25736,47.455776,5.717667,75.61041,47.477654,1.9793504E9,5.52521169E14,9.500024476783949
2657807,27000000000000,4.0223284,74.911194,47.11464,5.717667,75.61041,47.477654,2.48457805E9,5.52521169E14,3.4948595811622454
2658206,27000000000000,5.5342984,74.28759,48.578552,5.717667,75.61041,47.477654,1.0381271E10,5.52521169E14,2.9954616692994023
2658997,27000000000000,5.635874,75.71239,47.367603,5.717667,75.61041,47.477654,5.2731668E9,5.52521169E14,0.029199988168556956
2659403,27000000000000,5.1876187,76.135895,47.60682,5.717667,75.61041,47.477654,6.6645069E9,5.52521169E14,0.5737665590277174
2659780,27000000000000,6.5281563,76.096504,47.789238,5.717667,75.61041,47.477654,1.33232916E10,5.52521169E14,0.9902626477526155
2660443,27000000000000,6.2436433,76.37182,48.226524,5.717667,75.61041,47.477654,3.40024474E9,5.52521169E14,1.4171975052195194
2660997,27000000000000,6.661957,75.84386,47.303062,5.717667,75.61041,47.477654,8.0827674E8,5.52521169E14,0.9766612486421309
2661188,27000000000000,1.4646208,73.74777,47.89864,5.717667,75.61041,47.477654,6.4597801E9,5.52521169E14,21.735059130751324
2661641,27000000000000,6.727034,75.420395,47.20224,5.717667,75.61041,47.477654,5.0010726E9,5.52521169E14,1.1307810483885987
2662012,27000000000000,6.197665,76.10699,46.968777,5.717667,75.61041,47.477654,1.04290611E9,5.52521169E14,0.7359399219624265
2662417,27000000000000,6.963637,76.42829,47.94248,5.717667,75.61041,47.477654,2.61412762E9,5.52521169E14,2.437428259250737
2662737,27000000000000,1.8861768,73.85259,47.851276,5.717667,75.61041,47.477654,5.6477906E9,5.52521169E14,17.90984342671851
2663001,27000000000000,2.485705,73.88962,47.850754,5.717667,75.61041,47.477654,1.07225477E10,5.52521169E14,13.545917830375402
2663909,27000000000000,6.9751577,76.42134,48.044487,5.717667,75.61041,47.477654,4.4886523E9,5.52521169E14,2.560187689481836
2664440,27000000000000,5.7169447,75.393234,47.74945,5.717667,75.61041,47.477654,8.991319E9,5.52521169E14,0.12104066244341993
2664958,27000000000000,5.0523605,74.41078,47.320942,5.717667,75.61041,47.477654,4.831062E9,5.52521169E14,1.9063052542990135
2665258,27000000000000,5.6601124,76.82079,48.65428,5.717667,75.61041,47.477654,9.7735322E8,5.52521169E14,2.8527873478035417
2665476,27000000000000,5.6373963,76.81435,48.64614,5.717667,75.61041,47.477654,1057594.2,5.52521169E14,2.821262939924054
2665527,27000000000000,3.306419,73.86789,47.78985,5.717667,75.61041,47.477654,1.2383498E7,5.52521169E14,8.94797060387009
2665711,27000000000000,3.3032267,73.86763,47.787304,5.717667,75.61041,47.477654,1.03038624E9,5.52521169E14,8.962696962500615
2665921,27000000000000,3.420911,73.86885,48.20638,5.717667,75.61041,47.477654,7.8376992E8,5.52521169E14,8.839166830026954
2666751,27000000000000,5.4156766,75.174194,47.51903,5.717667,75.61041,47.477654,8.299305E9,5.52521169E14,0.2831967800448183
2667360,27000000000000,6.1449366,75.258705,48.173084,5.717667,75.61041,47.477654,2.67737651E9,5.52521169E14,0.7898812626156086
2667698,27000000000000,2.1286871,72.73653,47.375423,5.717667,75.61041,47.477654,5.9935424E8,5.52521169E14,21.15044950127691
2667873,27000000000000,5.1856666,75.65714,47.397827,5.717667,75.61041,47.477654,1.86052326E9,5.52521169E14,0.2915805200836985
2668096,27000000000000,3.8597844,73.677376,47.68965,5.717667,75.61041,47.477654,1.94155251E9,5.52521169E14,7.233302700968636
2668915,27000000000000,5.1876173,74.874466,47.033028,5.717667,75.61041,47.477654,2.16231526E9,5.52521169E14,1.0202624212963656
2669248,27000000000000,6.5755525,76.13098,46.442997,5.717667,75.61041,47.477654,4.8901642E9,5.52521169E14,2.077473341301811
2669541,27000000000000,5.000496,73.66312,47.606388,5.717667,75.61041,47.477654,1.30447629E9,5.52521169E14,4.322869380084967
2669839,27000000000000,4.8103046,74.95879,46.955894,5.717667,75.61041,47.477654,2.44904806E9,5.52521169E14,1.5201463903233616
2670122,27000000000000,5.482716,76.25351,46.813057,5.717667,75.61041,47.477654,3.22512333E9,5.52521169E14,0.9104642192978645
2670338,27000000000000,5.9901233,76.01482,47.740135,5.717667,75.61041,47.477654,5.0177336E9,5.52521169E14,0.30667134306804655
2670684,27000000000000,6.2875323,74.64844,49.11108,5.717667,75.61041,47.477654,7.9125792E8,5.52521169E14,3.918225139213064
2670937,27000000000000,6.110134,76.199036,47.454502,5.717667,75.61041,47.477654,4.4790589E9,5.52521169E14,0.5010434418402383
2671253,27000000000000,4.0264482,74.55245,47.914062,5.717667,75.61041,47.477654,5.5734031E9,5.52521169E14,4.169954462286341
