x,y,z,fof_x,fof_y,fof_z,mstar,astar,grpid,fof_mass,dist
6.187276,76.60836,47.785866,5.717667,75.61041,47.477654,8.8433158E8,8.8329139E8,27000000000000,5.52521169E14,1.3114268171668755
5.0223155,76.149605,46.223553,5.717667,75.61041,47.477654,2.37750656E9,2.37750656E9,27000000000000,5.52521169E14,2.347010892205617
6.7155623,74.93725,47.309467,5.717667,75.61041,47.477654,6.3703834E8,6.3703834E8,27000000000000,5.52521169E14,1.4772317712349832
2.9683099,73.76399,47.61697,5.717667,75.61041,47.477654,1.03011181E9,1.03011181E9,27000000000000,5.52521169E14,10.987642126292485
2.2217996,73.672554,48.005783,5.717667,75.61041,47.477654,7.0396672E8,7.0396672E8,27000000000000,5.52521169E14,16.255306245846043
5.7749033,75.43148,47.42935,5.717667,75.61041,47.477654,1.85445581E9,1.85445581E9,27000000000000,5.52521169E14,0.03762576448229993
5.1204205,76.00772,46.414093,5.717667,75.61041,47.477654,6.3077978E8,6.3077978E8,27000000000000,5.52521169E14,1.6457183889199314
2.8641393,73.59336,47.65645,5.717667,75.61041,47.477654,1.21159091E9,1.21159091E9,27000000000000,5.52521169E14,12.243085965778448
6.3448853,76.64277,47.4322,5.717667,75.61041,47.477654,4.8926848E8,4.88155552E8,27000000000000,5.52521169E14,1.4612280758337874
3.8108153,75.18075,48.45548,5.717667,75.61041,47.477654,4.97647104E8,4.95281344E8,27000000000000,5.52521169E14,4.776837398560929
6.5057344,76.02116,47.437817,5.717667,75.61041,47.477654,1.3625623E9,1.3625623E9,27000000000000,5.52521169E14,0.7913475090865632
4.0681763,75.93193,48.016296,5.717667,75.61041,47.477654,5.1081888E8,5.05210048E8,27000000000000,5.52521169E14,3.1143299533434856
6.8065023,75.44254,48.303665,5.717667,75.61041,47.477654,7.2402246E8,7.1633459E8,27000000000000,5.52521169E14,1.8960376290799559
5.9263034,76.0929,47.00772,5.717667,75.61041,47.477654,6.7168691E8,6.7063456E8,27000000000000,5.52521169E14,0.49716282703684556
6.1622705,75.63257,47.645584,5.717667,75.61041,47.477654,7.4347162E8,7.4347162E8,27000000000000,5.52521169E14,0.22636378686752323
5.4248695,75.36791,47.542683,5.717667,75.61041,47.477654,2.12777894E9,2.12777894E9,27000000000000,5.52521169E14,0.1487656019564838
6.3266683,75.669205,47.438442,5.717667,75.61041,47.477654,2.01479808E9,2.01479808E9,27000000000000,5.52521169E14,0.3758764491212787
5.866116,74.910324,48.87654,5.717667,75.61041,47.477654,7.739856E8,7.7294835E8,27000000000000,5.52521169E14,2.4690476115356432
5.4383483,75.18303,48.101025,5.717667,75.61041,47.477654,3.360872E8,3.360872E8,27000000000000,5.52521169E14,0.6492671460446218
5.8191795,75.4619,47.601845,5.717667,75.61041,47.477654,1.84301837E9,1.84301837E9,27000000000000,5.52521169E14,0.04778459592876061
5.9981847,76.04501,47.299774,5.717667,75.61041,47.477654,7.6964102E8,7.6964102E8,27000000000000,5.52521169E14,0.2992090504267253
1.6072392,73.900314,48.463642,5.717667,75.61041,47.477654,1.26739354E9,1.26405158E9,27000000000000,5.52521169E14,20.792226797217154
4.8859477,75.88813,47.903454,5.717667,75.61041,47.477654,1.8656192E8,1.83413856E8,27000000000000,5.52521169E14,0.9501901332996567
5.987709,75.81484,47.360607,5.717667,75.61041,47.477654,7.3512781E8,7.3512781E8,27000000000000,5.52521169E14,0.12841397243778374
2.359903,73.74906,48.15238,5.717667,75.61041,47.477654,1.24830822E9,1.24830822E9,27000000000000,5.52521169E14,15.194465117061156
5.4760637,75.64046,47.45737,5.717667,75.61041,47.477654,1.42289037E9,1.42289037E9,27000000000000,5.52521169E14,0.05968625564514696
5.665697,74.953896,47.69711,5.717667,75.61041,47.477654,1.1244424E8,1.1244424E8,27000000000000,5.52521169E14,0.48187630313827867
2.2092283,72.87276,48.442486,5.717667,75.61041,47.477654,2.6121632E8,2.60171968E8,27000000000000,5.52521169E14,20.734802772851765
6.844261,75.81048,47.8058,5.717667,75.61041,47.477654,1.99813904E8,1.99813904E8,27000000000000,5.52521169E14,1.4169214768846814
6.186634,75.33751,46.628723,5.717667,75.61041,47.477654,1.3508104E8,1.34005872E8,27000000000000,5.52521169E14,1.0150890535262533
2.0399196,72.81714,48.345215,5.717667,75.61041,47.477654,2.798299E7,2.798299E7,27000000000000,5.52521169E14,22.08086848933914
4.7702227,76.2326,48.216312,5.717667,75.61041,47.477654,8.7896552E7,8.7896552E7,27000000000000,5.52521169E14,1.8303818102324385
