id,x,y,z,g_x,g_y,g_z,M,R,grpid
5687175,98.423546,59.26895,56.146976,98.42786,59.274456,56.13948,3.5991028E10,67.36667,27000100003868
6313158,7.3821564,68.17524,51.19933,7.3812,68.17383,51.198837,3.6234854E10,67.52011,27000300000162
6253774,65.27023,80.98526,65.152756,65.26435,80.989746,65.14746,3.644715E10,67.651276,27000200004337
6504879,45.567944,79.30506,62.46153,45.57552,79.30662,62.46048,3.6739391E10,67.82962,27000300000018
6434601,82.38815,84.36067,40.921303,82.38704,84.36101,40.920467,3.6789195E10,67.86186,27000200004843
5695082,6.351884,33.510117,60.493916,6.3537183,33.505486,60.49145,3.714347E10,68.075676,27000200000975
6232955,13.121426,77.80335,37.862976,13.127134,77.80284,37.860146,3.7212074E10,68.123764,27000200005533
5806789,39.73511,72.524345,11.791863,39.73027,72.529396,11.797839,3.7337862E10,68.194725,27000200002287
6354752,47.51292,12.364837,10.006787,47.510395,12.368475,10.008067,3.7372281E10,68.221016,27000200006056
3213952,82.81504,58.60931,60.695446,82.80764,58.604324,60.69281,3.8345355E10,68.80692,27000200002737
4607165,24.942522,96.69339,36.24192,24.94235,96.69446,36.241253,3.8633652E10,68.97769,27000100003521
3360129,21.546507,78.43204,50.604565,21.547455,78.43234,50.605885,3.9317438E10,69.38045,27000100005333
7180435,70.93012,37.670097,34.248947,70.92979,37.66964,34.2496,3.9340917E10,69.39557,27000100005580
5440239,93.01376,55.18974,97.375885,93.012535,55.18873,97.37722,3.9382159E10,69.41989,27000200002211
6227780,98.803024,29.921295,15.770382,98.807236,29.921919,15.768439,3.996013E10,69.75886,27000200004027
1374806,23.08393,42.721443,83.550575,23.083206,42.722527,83.550255,4.0082592E10,69.831535,27000200005081
5673819,66.74717,4.307131,0.23078409,66.74381,4.30697,0.22854695,4.01613E10,69.87518,27000200001322
6773410,8.168729,33.546364,54.122593,8.1718235,33.547638,54.12208,4.030396E10,69.95914,27000000006778
3509966,8.019674,33.66434,54.003193,8.1718235,33.547638,54.12208,4.030396E10,69.95914,27000000006778
6910503,0.21032104,73.05531,48.502216,0.21014367,73.047424,48.50339,4.0461988E10,70.04549,27000200000784
6237728,33.274845,64.368286,64.97389,33.27208,64.36678,64.97474,4.067122E10,70.16682,27000200006245
6597639,13.917949,77.62962,50.83682,13.91754,77.63029,50.83738,4.1037586E10,70.37958,27000200006765
6584772,74.85905,6.100525,75.59702,74.859406,6.101945,75.597565,4.1067487E10,70.398125,27000100006172
220050,28.833162,79.07991,60.817093,28.833685,79.079025,60.82065,4.1489916E10,70.63742,27000100007314
6476303,32.24201,31.350574,2.177105,32.240944,31.351072,2.1776416,4.1573294E10,70.68724,27000300000176
3926956,14.689067,27.853456,62.43651,14.682409,27.85513,62.456337,4.1619993E10,70.709816,27000100001261
6205912,45.79869,16.241943,6.5376954,45.801155,16.243607,6.5388227,4.1642332E10,70.72229,27000200004183
4852782,15.20039,78.20543,49.625168,15.20077,78.205925,49.624107,4.1938702E10,70.89009,27000300000865
5954865,44.59264,12.55421,8.760279,44.592754,12.553112,8.7617,4.1997296E10,70.92436,27000200005155
5263604,32.673347,67.9926,63.232124,32.667435,67.997116,63.23419,4.2225238E10,71.05357,27000100006966
5268128,36.23955,63.965637,7.0396814,36.235806,63.967503,7.042882,4.2289316E10,71.090416,27000200003302
6173667,71.57169,12.16741,69.90962,71.568665,12.167484,69.90681,4.2319688E10,71.10591,27000200004205
6472649,79.005646,0.50457144,41.100803,79.00965,0.50998676,41.099293,4.2322743E10,71.10805,27000200006124
6126850,33.1306,98.64043,34.038967,33.131535,98.64256,34.039845,4.2696679E10,71.31777,27000200004169
6371040,21.246313,79.85398,36.95357,21.248,79.8523,36.95703,4.2709025E10,71.320885,27000200006924
5276169,84.155975,18.888437,65.911354,84.15058,18.887983,65.914764,4.2864808E10,71.41001,27000200000562
5652479,36.338856,20.416334,43.127472,36.337967,20.41975,43.12495,4.3057074E10,71.51422,27000200002685
5700390,60.663296,5.087784,23.187466,60.66596,5.0872936,23.19248,4.3305284E10,71.65185,27000200001646
618153,2.0005872,42.038853,95.692856,2.0030167,42.036495,95.698654,4.3465441E10,71.74006,27000100003022
5750851,64.40837,46.284695,96.94561,64.40847,46.28412,96.945946,4.4003156E10,72.03809,27000200004923
53211892,53.482468,49.790104,98.20679,53.486366,49.790924,98.20913,4.4258677E10,72.17687,27000200001479
6267856,13.22012,36.646107,53.555485,13.218134,36.646915,53.55911,4.4285309E10,72.19193,27000200006299
5621447,25.48882,21.931427,74.053635,25.482992,21.93025,74.05239,4.4710715E10,72.41872,27000200002002
5955157,14.511158,77.418365,48.037563,14.511874,77.41531,48.030437,4.4741186E10,72.43419,27000100004789
4826817,82.071,10.939263,57.229183,82.075386,10.942604,57.22914,4.5039219E10,72.59944,27000200001191
5642218,34.79214,36.75066,67.53969,34.792442,36.75179,67.54085,4.510047E10,72.62982,27000200000391
6221558,23.217354,87.48296,90.215004,23.219963,87.47833,90.21526,4.5159404E10,72.66157,27000200005400
6298085,81.53427,77.141754,43.798157,81.53292,77.14116,43.79777,4.5281436E10,72.7239,27000200005953
