#OK
#SQL=     
#	          
#	           SELECT
#							     ape.GalaxyID as id,
#							     ape.Mass_Star as SM,
#						             ape.VelDisp as VelDisp,
#							     ape.SFR as SFR,
#						             ape.Mass_Gas as GM,
#						             (ape.Mass_DM + ape.Mass_Star + ape.Mass_Gas) as Tot_Mass,
#						             M.MassType_Star as SM_sh,
#							     M.Stars_Metallicity as Metal,
#					                     M.SF_Metallicity as SF_Metal,
#					                     M.NSF_Metallicity as NSF_Metal,
#				         	             M.SF_Oxygen as SF_O,
#				                             M.SF_Hydrogen as SF_H,
#							     M.CentreOfMass_x as x,
#							     M.CentreOfMass_y as y,
#							     M.CentreOfMass_z as z,
#			                                     M.SubGroupNumber as SubGrpNum,
#						             sqrt(M.Velocity_x*M.Velocity_x + M.Velocity_y*M.Velocity_y + M.Velocity_z*M.Velocity_z) as Vel,
#						             M.Mass as Mass_sh,
#		                                             M.GroupID as grpid,
#							     mg.u_nodust as u,
#							     mg.g_nodust as g,
#							     mg.r_nodust as r,
#						             mg.i_nodust as i,
#						             mg.z_nodust as z,
#						             mg.Y_nodust as Y,
#						             mg.J_nodust as J,
#						             mg.H_nodust as H,
#						             mg.K_nodust as K
#					                FROM 
#					     	             RefL0100N1504_Subhalo as M, 
#							     RefL0100N1504_Aperture as ape,
#							     RefL0100N1504_Magnitudes as mg
#						        WHERE 
#							     M.SnapNum = 27
#							     and M.Spurious=0
#	                                                     and ape.Mass_Star >= 1.0e10
#							     and ape.ApertureSize = 30
#						             and M.GalaxyID = ape.GalaxyID
#							     and M.GalaxyID = mg.GalaxyID
#							ORDER BY 
#							     M.Mass 
#		
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1800 sec
#QUERYTIME 2071 millisec
#COLUMN 1 name=id JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=SM JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=VelDisp JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=SFR JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=GM JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=Tot_Mass JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=SM_sh JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=Metal JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=SF_Metal JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 10 name=NSF_Metal JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 11 name=SF_O JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 12 name=SF_H JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 13 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 14 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 15 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 16 name=SubGrpNum JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 17 name=Vel JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 18 name=Mass_sh JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 19 name=grpid JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 20 name=u JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 21 name=g JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 22 name=r JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 23 name=i JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 24 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 25 name=Y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 26 name=J JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 27 name=H JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 28 name=K JDBC_TYPE=7 JDBC_TYPENAME=real
id,SM,VelDisp,SFR,GM,Tot_Mass,SM_sh,Metal,SF_Metal,NSF_Metal,SF_O,SF_H,x,y,z,SubGrpNum,Vel,Mass_sh,grpid,u,g,r,i,z,Y,J,H,K
16914856,1.08138824E10,72.781685,2.3469203,3.05815706E9,3.12649523E10,1.08138824E10,0.026129154,0.033908367,0.01873673,0.014477739,0.6763138,96.32658,46.808178,11.31912,1,234.20855756675502,3.12686039E10,27000000000491,-19.613825,-20.33482,-20.628822,-20.80693,-21.031164,-21.22802,-21.300735,-21.476124,-21.230635
54392951,1.19446774E10,64.472,0.0,0.0,3.17807411E10,1.19446774E10,0.024828628,0.0,0.0,0.0,0.0,83.00607,32.7425,9.036301,2,708.5068365936916,3.17807411E10,27000000000124,-17.161652,-18.841764,-19.63075,-19.968716,-20.29314,-20.539705,-20.647015,-20.862144,-20.597622
17228327,1.38199337E10,73.16423,0.0108232675,1.12141056E8,3.18872986E10,1.38199337E10,0.027687494,0.07214757,0.0772031,0.026478024,0.5891737,59.602657,41.221626,37.20302,7,418.49238344323544,3.19116308E10,27000000000033,-17.720184,-19.350163,-20.086136,-20.393988,-20.70095,-20.958008,-21.071087,-21.285692,-21.039362
2658206,1.03500268E10,64.86039,0.0,0.0,3.07580989E10,1.0381271E10,0.025002692,0.0,0.0,0.0,0.0,5.534418,74.28806,48.579315,147,558.3075429366864,3.19951442E10,27000000000000,-16.855242,-18.536667,-19.331799,-19.675589,-20.002754,-20.246876,-20.35246,-20.569008,-20.305103
14141344,1.36990198E10,62.542324,0.16719736,2.3952056E8,3.20294973E10,1.36990198E10,0.029150456,0.08441235,0.038569592,0.031226352,0.5586596,50.113136,36.78632,97.3017,7,211.26616062445967,3.20529428E10,27000000000136,-17.870401,-19.311035,-20.021364,-20.32974,-20.646936,-20.917242,-21.035824,-21.255014,-21.020397
65696,1.84287805E10,84.434654,0.0,0.0,3.32040315E10,1.84287805E10,0.02651493,0.0,0.0,0.0,0.0,18.074688,80.01009,53.416786,64,883.7117742793744,3.32367442E10,27000000000001,-17.25636,-18.999949,-19.820177,-20.170677,-20.512863,-20.773346,-20.884579,-21.107204,-20.84394
7206719,1.01177846E10,59.32469,0.0,0.0,3.40839383E10,1.01337385E10,0.02488456,0.0,0.0,0.0,0.0,4.59354,59.56534,54.548862,5,366.6540220357606,3.4410131E10,27000000000040,-17.00242,-18.684095,-19.470945,-19.805967,-20.128086,-20.376417,-20.484083,-20.698648,-20.438053
2659780,1.33232916E10,63.400024,0.0,0.0,3.4565136E10,1.33232916E10,0.026948918,0.0,0.0,0.0,0.0,6.5282326,76.096405,47.78928,133,876.1448938389129,3.456514E10,27000000000000,-17.143478,-18.84932,-19.652954,-19.998066,-20.331318,-20.587683,-20.700024,-20.919987,-20.66142
6084349,1.87969085E10,104.11256,0.0,0.0,3.5036111E10,1.87969085E10,0.026263662,0.0,0.0,0.0,0.0,73.73201,5.087385,77.49697,17,460.95695297934276,3.5117134E10,27000000000021,-17.494383,-19.220675,-20.028696,-20.372498,-20.710016,-20.971872,-21.086378,-21.30845,-21.047155
64010,1.15495547E10,66.756035,0.0,0.0,3.5176382E10,1.15495547E10,0.021482263,0.0,0.0,0.0,0.0,18.284449,79.83509,53.76542,82,1804.5730797061115,3.5176382E10,27000000000001,-17.026493,-18.675657,-19.455654,-19.796629,-20.113737,-20.336796,-20.43126,-20.6426,-20.370775
6615741,1.08686336E10,65.74017,0.0,0.0,3.5406795E10,1.08696873E10,0.01947004,0.0,0.0,0.0,0.0,79.78585,2.2156355,40.179993,16,450.28884826853084,3.5563008E10,27000000000018,-16.997192,-18.639578,-19.413858,-19.750637,-20.063742,-20.280485,-20.370613,-20.579176,-20.300346
7707096,1.37592248E10,67.824776,0.0,0.0,3.5718504E10,1.37592248E10,0.026722008,0.0,0.0,0.0,0.0,69.624756,55.372173,74.71916,9,284.3711675565932,3.5729359E10,27000000000055,-17.397556,-19.073244,-19.853964,-20.186308,-20.509176,-20.76351,-20.874851,-21.09038,-20.832512
7653318,1.08198031E10,71.11472,0.007274621,2.9942688E8,3.595794E10,1.08198031E10,0.024486303,0.027453797,0.08977935,0.010804731,0.6907502,96.71746,20.31462,45.7549,12,632.1907840992307,3.5967013E10,27000000000052,-17.051102,-18.71799,-19.503872,-19.841974,-20.166231,-20.40961,-20.514687,-20.729765,-20.465137
