id,xslice,yslice,SM,x,Metal,y,z
51951765,-45.2210,-48.4874,4112300800.0000,  6.8109,  0.0194, 40.4213, 83.6832
52542657,-20.8508, -4.8464,2240381700.0000, 28.9165,  0.0159, 78.2004, 59.5068
52542892,-21.2531, -4.8775,1832787580.0000, 28.5412,  0.0199, 78.2391, 59.6802
52543429,-21.0233, -5.0038,1172254720.0000, 28.8768,  0.0127, 78.3865, 60.1812
52552490,-29.0281,  9.0848,1956524420.0000, 14.2496,  0.0199, 75.3335, 26.5898
52573130,  8.1908, 24.2607,1934918910.0000, 49.9834,  0.0235, 86.6652, 12.0837
52573480,  7.9776, 24.2529,1324509180.0000, 49.7989,  0.0157, 86.7317, 12.2402
52579477,-44.0373,-56.8159,1490039550.0000,  4.4691,  0.0169, 22.9671, 69.3334
52579811,-43.8257,-57.8119,1048870340.0000,  4.3617,  0.0122, 21.1452, 68.0867
52586458, 39.4160,-41.3268,3780309500.0000, 90.6841,  0.0163, 45.6047, 69.8751
52592430, 50.2253, -8.5186,3036981250.0000, 99.0221,  0.0215, 72.0162, 48.8761
52615899, 36.0413,-43.0461,1564032130.0000, 89.1241,  0.0222, 48.5828, 79.0830
53152005, 30.5309,-23.3003,1156215040.0000, 81.4922,  0.0110, 62.8370, 64.6932
53158802, 28.9237,-75.2140,2952382210.0000, 78.5965,  0.0180,  7.5881, 72.2314
53160557, 29.1381,-74.8159,2107414660.0000, 78.6767,  0.0294,  7.6391, 71.4845
53165514,-26.0714,-61.3301,4264006910.0000, 26.5215,  0.0164, 29.0306, 87.6904
53165799,-25.9337,-61.0783,2217273090.0000, 26.6402,  0.0119, 29.2332, 87.5237
53165905,-26.1719,-61.2663,1731702140.0000, 26.3497,  0.0126, 28.9100, 87.3530
53189334,-10.4987, -0.2634,2133754500.0000, 36.5862,  0.0156, 75.8400, 44.8377
53190205,-10.3992, -0.6016,1327591810.0000, 36.7140,  0.0134, 75.5751, 45.0464
53194753,-30.4030,  2.1508,2155105280.0000, 17.0444,  0.0215, 79.1926, 47.8797
53195110,-30.2780,  2.0308,1532799740.0000, 17.1460,  0.0138, 79.0121, 47.7895
53200173,-52.9525,-52.2553,1712114180.0000,  1.3877,  0.0185, 42.6283, 96.1441
53200468,-53.4208,-52.7786,1494765570.0000,  1.0245,  0.0107, 42.3770, 96.8136
53237926, 49.6175, -6.6629,2873360640.0000, 95.4462,  0.0204, 66.1889, 34.6718
53238172, 49.4939, -6.7295,1661933180.0000, 95.3763,  0.0112, 66.2614, 34.9509
53243902, 11.1052, 12.1268,1080991230.0000, 58.8409,  0.0114, 89.9149, 42.5232
53249479,-19.2182,-55.9744,1649554820.0000, 35.1503,  0.0150, 38.9826, 93.8784
53250337,-19.2945,-56.2438,1662505220.0000, 34.9738,  0.0201, 38.4536, 93.4895
53769546, 16.2443,-86.4102,3357269250.0000, 69.7311,  0.0188,  6.2646, 94.0909
53769789, 16.1945,-86.4494,3303215620.0000, 69.6847,  0.0320,  6.2340, 94.1214
53774528, 20.6006,-81.6923,1559805700.0000, 73.4997,  0.0155,  9.4610, 89.7130
53777877, 20.5219,-81.7879,3448485120.0000, 73.3854,  0.0251,  9.2732, 89.5800
